entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
369,2025-05-09,34.613,short,374,2025-05-14,35.053000000000004,-1.2711986825759247,-3.2711986825759247,0.6683121,0,2,
371,2025-05-11,34.613,short,376,2025-05-16,35.161,-1.5832201773900032,-3.583220177390003,0.5972842,0,2,
374,2025-05-14,35.053000000000004,long,379,2025-05-19,35.22,0.4764214189940789,-1.523578581005921,0.5970432,2,2,
376,2025-05-16,35.161,long,381,2025-05-21,36.616,4.138107562356015,2.138107562356015,0.66542983,2,2,
379,2025-05-19,35.230000000000004,long,384,2025-05-24,36.445,3.4487652568833274,1.4487652568833274,0.53467095,2,2,
381,2025-05-21,36.626000000000005,long,386,2025-05-26,37.248,1.6982471468355613,-0.3017528531644387,0.593232,2,2,
384,2025-05-24,36.445,short,389,2025-05-29,35.163000000000004,3.5176293044313254,1.5176293044313254,0.5273029,0,2,
386,2025-05-26,37.248,short,391,2025-05-31,34.233000000000004,8.09439432989689,6.09439432989689,0.5137157,0,2,
389,2025-05-29,35.153,short,394,2025-06-03,35.853,-1.9912951952891726,-3.9912951952891724,0.6013233,0,2,
391,2025-05-31,34.223,short,396,2025-06-05,36.398,-6.355375040177671,-8.355375040177671,0.5623828,0,2,
394,2025-06-03,35.853,long,399,2025-06-08,36.245999999999995,1.0961425822106756,-0.9038574177893244,0.5528399,2,2,
401,2025-06-10,34.643,long,406,2025-06-15,37.888999999999996,9.369858268625682,7.369858268625682,0.5276613,2,2,
402,2025-06-11,35.918,long,407,2025-06-16,37.900999999999996,5.520908736566615,3.520908736566615,0.52868587,2,2,
407,2025-06-16,37.911,long,412,2025-06-21,40.924,7.947561393790716,5.947561393790716,0.6318769,2,2,
408,2025-06-17,39.314,long,413,2025-06-22,40.924,4.095233250241643,2.095233250241643,0.75761193,2,2,
412,2025-06-21,40.934000000000005,long,415,2025-06-24,35.61,-13.006302828944166,-15.006302828944166,0.6222101,2,2,
413,2025-06-22,40.934000000000005,long,415,2025-06-24,35.61,-13.006302828944166,-15.006302828944166,0.7670076,2,2,
415,2025-06-24,35.61,short,420,2025-06-29,33.092000000000006,7.071047458579033,5.071047458579033,0.56931806,0,2,
416,2025-06-25,35.396,short,421,2025-06-30,32.903000000000006,7.043168719629323,5.043168719629323,0.576037,0,2,
421,2025-06-30,32.893,short,426,2025-07-05,33.474000000000004,-1.766333262396264,-3.766333262396264,0.52080053,0,2,
422,2025-07-01,33.687999999999995,short,427,2025-07-06,33.474000000000004,0.6352410353834943,-1.3647589646165057,0.5325382,0,2,
426,2025-07-05,33.464,short,431,2025-07-10,35.175000000000004,-5.112957207745654,-7.112957207745654,0.50673604,0,2,
428,2025-07-07,33.616,short,433,2025-07-12,35.566,-5.800809138505482,-7.800809138505482,0.5100951,0,2,
431,2025-07-10,35.165,short,436,2025-07-15,34.45,2.0332717190388068,0.03327171903880677,0.57538056,0,2,
433,2025-07-12,35.556,short,438,2025-07-17,34.412,3.2174597817527237,1.2174597817527237,0.710945,0,2,
436,2025-07-15,34.44,short,441,2025-07-20,33.6,2.4390243902438917,0.4390243902438917,0.5828453,0,2,
438,2025-07-17,34.401999999999994,short,443,2025-07-22,33.116,3.7381547584442605,1.7381547584442605,0.61714447,0,2,
441,2025-07-20,33.589999999999996,short,446,2025-07-25,32.504000000000005,3.2331050908008088,1.2331050908008088,0.63378084,0,2,
443,2025-07-22,33.105999999999995,short,448,2025-07-27,32.504000000000005,1.8184014982178147,-0.18159850178218528,0.73402613,0,2,
446,2025-07-25,32.504000000000005,long,451,2025-07-30,34.532,6.239232094511419,4.239232094511419,0.57779455,2,2,
448,2025-07-27,32.504000000000005,long,453,2025-08-01,33.967,4.500984494216077,2.500984494216077,0.58841944,2,2,
451,2025-07-30,34.532,short,456,2025-08-04,34.288000000000004,0.7065909880690163,-1.2934090119309838,0.6167205,0,2,
453,2025-08-01,33.967,short,458,2025-08-06,33.262,2.0755439102658415,0.07554391026584151,0.6878352,0,2,
456,2025-08-04,34.278,short,461,2025-08-09,32.451,5.329949238578675,3.329949238578675,0.65328026,0,2,
458,2025-08-06,33.251999999999995,short,463,2025-08-11,33.004000000000005,0.7458198003127345,-1.2541801996872655,0.55658484,0,2,
461,2025-08-09,32.451,long,466,2025-08-14,32.135999999999996,-0.9706942775261311,-2.970694277526131,0.73558736,2,2,
463,2025-08-11,33.004000000000005,long,468,2025-08-16,31.026,-5.993212943885604,-7.993212943885604,0.7475845,2,2,
466,2025-08-14,32.135999999999996,short,471,2025-08-19,31.232,2.8130445606173655,0.8130445606173655,0.582173,0,2,
468,2025-08-16,31.035999999999998,long,473,2025-08-21,33.169999999999995,6.875886067792232,4.875886067792232,0.56527764,2,2,
